dataset	nSamp1	nSamp2	geneID_format	inputDataType	meanVar	meanFC	maxVar	maxFC
GSE84231_rhb_rsc	17	16	entrezID	raw	0.3392	0.6726	5.04012732131861	8.51494626491733
GSE84231_lhb_lsc	17	16	entrezID	raw	0.3168	0.6627	4.80718370653824	8.54267741210215
TCGAucec_msi_cnl	65	92	entrezID	RSEM	2.9488	0.5863	33.5863505729627	4.00790614022187
TCGApaad_paad_mutKRAS	43	109	geneSymbol	RSEM	2.4175	0.5716	38.5125055997132	4.0813085835139
TCGAlaml_laml_mutFLT3	124	38	geneSymbol	RSEM	2.8503	0.55	47.836737178589	3.21472676006015
GSE94736_old_young	12	16	geneSymbol	raw	0.1986	0.5477	2.77930320724241	3.20852840815265
GSE57148_normal_COPD	91	98	geneSymbol	FPKM	0.4423	0.5167	12.079264628598	3.4379775826542
GSE78936_ba11Ctrl_ba11BD	12	16	entrezID	raw	0.1895	0.4131	2.16402759973104	1.89705507994477
GSE87194_control_schi	19	19	geneSymbol	raw	0.2843	0.3972	5.17963188463322	2.29658092006848
TCGAskcm_skcm_mutBRAF	183	180	geneSymbol	RSEM	3.2787	0.3775	25.1527601131665	2.21218739569122
GSE71119_dediffSM_MFSM	18	15	geneSymbol	FPKM	0.763	0.3593	9.803397431479	3.69528254896688
GSE52166_prePf_postPf	99	97	ensemblID	raw	0.3818	0.3431	7.67324714839	2.10681122390621
GSE102073_stic_nostic	43	42	ensemblID	DESeq2	2.513	0.3394	29.2340474712013	2.47584421333666
GSE79209_dysp_nodysp	50	25	ensemblID	raw	0.2023	0.3258	6.62645206148009	1.54941947007586
GSE78936_ba11Ctrl_ba11Sz	12	16	entrezID	raw	0.1467	0.3178	1.84870344671214	1.6437551764053
GSE71119_undiffSM_LMSM	42	36	geneSymbol	FPKM	0.7676	0.3167	4.9876737342667	2.58883526427477
TCGAluad_luad_mutKRAS	348	154	geneSymbol	RSEM	2.8999	0.2965	28.7081097764767	2.74892691702815
GSE86356_tibMD1_tibNorm	46	11	entrezID	raw	0.6589	0.2879	8.6144162813251	2.24509409867581
GSE84231_lsc_rsc	16	16	entrezID	raw	0.3418	0.2586	5.95669272568937	1.63571102354054
GSE86356_quadMD1_quadNorm	20	12	entrezID	raw	0.73	0.2576	9.28451129530289	2.03662644368986
GSE84231_lhb_rhb	17	17	entrezID	raw	0.278	0.2424	4.85504647224638	1.63530751650119
GSE86422_myoPre_myoPost	35	35	ensemblID	RSEM	1.0416	0.2035	25.3754906222932	1.38059915425097
GSE86356_tibMD1_quadMD1	46	20	entrezID	raw	0.6914	0.1975	8.3929052050656	1.77460100008321
GSE51799_control_carrier	33	91	ensemblID	raw	0.234	0.194	5.11111575347802	1.44149242964988
GSE79362_prog_nonprog	110	245	geneSymbol	raw	0.1515	0.1676	2.75590032556801	1.61038868647678
GSE64813_prePTSD_postPTSD	47	47	geneSymbol	raw	0.0848	0.1627	2.12213616383022	1.70277200594976
